lag,step,edge_thres,rows,pr1_sum,pr2_sum,pr5_sum,acc_mean,acc_std,top2_rate,top5_rate
7,30,0.8,6,2.0,2.0,4.0,0.5238166666666667,0.4205503366621725,0.3333333333333333,0.6666666666666666
7,30,0.6,6,1.0,2.0,4.0,0.5,0.39121266339422095,0.3333333333333333,0.6666666666666666
3,60,0.6,6,0.0,2.0,2.0,0.30951666666666666,0.4277517570585382,0.3333333333333333,0.3333333333333333
5,60,0.8,6,0.0,1.0,4.0,0.4285833333333333,0.3257481199741093,0.16666666666666666,0.6666666666666666
5,30,0.8,6,0.0,1.0,3.0,0.40476666666666666,0.3981139217192319,0.16666666666666666,0.5
3,20,0.8,6,1.0,1.0,3.0,0.3809666666666667,0.4107381777564227,0.16666666666666666,0.5
3,30,0.8,6,1.0,1.0,3.0,0.3809666666666667,0.4107381777564227,0.16666666666666666,0.5
3,20,0.6,6,0.0,1.0,3.0,0.38094999999999996,0.3797435595240557,0.16666666666666666,0.5
5,20,0.8,6,0.0,1.0,3.0,0.38094999999999996,0.3797435595240556,0.16666666666666666,0.5
3,60,0.8,6,0.0,1.0,3.0,0.33331666666666665,0.3797410508052384,0.16666666666666666,0.5
7,60,0.8,6,1.0,1.0,2.0,0.3095333333333333,0.43721381344448246,0.16666666666666666,0.3333333333333333
7,60,0.6,6,0.0,1.0,2.0,0.26189999999999997,0.3660571321528922,0.16666666666666666,0.3333333333333333
3,60,0.4,6,0.0,1.0,1.0,0.16666666666666666,0.3430376519664666,0.16666666666666666,0.16666666666666666
5,60,0.6,6,0.0,0.0,3.0,0.3095333333333333,0.3052787294697531,0.0,0.5
5,60,0.4,6,0.0,0.0,3.0,0.2857,0.3129686693584519,0.0,0.5
5,20,0.6,6,0.0,0.0,2.0,0.21428333333333335,0.28210361512512855,0.0,0.3333333333333333
5,20,0.4,6,0.0,0.0,2.0,0.19046666666666667,0.2950696912030557,0.0,0.3333333333333333
3,20,0.4,6,0.0,0.0,1.0,0.14286666666666667,0.28572000046665735,0.0,0.16666666666666666
3,30,0.4,6,0.0,0.0,1.0,0.14286666666666667,0.28572000046665735,0.0,0.16666666666666666
3,30,0.6,6,0.0,0.0,1.0,0.14286666666666667,0.28572000046665735,0.0,0.16666666666666666
5,30,0.4,6,0.0,0.0,1.0,0.11905,0.2288584518867503,0.0,0.16666666666666666
5,30,0.6,6,0.0,0.0,1.0,0.11905,0.2288584518867503,0.0,0.16666666666666666
7,30,0.4,6,0.0,0.0,1.0,0.11905,0.2288584518867503,0.0,0.16666666666666666
7,60,0.4,6,0.0,0.0,1.0,0.11905,0.2288584518867503,0.0,0.16666666666666666
