scope,runs,top1,top2,top5,acc_mean,acc_std
all_main_param_quality_valid,87,0.13793103448275862,0.21839080459770116,0.3563218390804598,0.3103425287356322,0.3934660570544761
repeated_ge5,72,0.16666666666666666,0.2638888888888889,0.4305555555555556,0.3690444444444444,0.4074192884344326
selected_current_positive,60,0.16666666666666666,0.26666666666666666,0.4666666666666667,0.39285333333333333,0.40287551741334876
