experiment,run,dataset,desc,group,fault_type,object_role,root,root_idx,baseline_mean,fault_mean,fault_baseline_ratio,baseline_seconds,fault_seconds,rate_window,load_profile,data_root,dataset_prefix,path,quality_valid,min_valid_ratio,missing_points,zero_points,dycause_log,dycause_ok,lag,step,edge_thres,root_rank,pr1,pr2,pr3,pr4,pr5,pr_avg,acc
el_e13,run01,extended_el_e13_mesh_run01,Extended: NetworkLoss 5% carts,extended,network-loss,core,carts,3,0.016563698822711262,0.019457298275650653,1.1746952467507947,300,300,15s,legacy-compressed-v1,D:\project\homework\sockshop\data\sockshop_mesh_extended,extended_,data\sockshop_mesh_extended\el_e13\run01,True,1.0,0,0,data\sockshop_mesh_extended\el_e13\run01\dycause_lag3_step60_edge0.4.log,True,3,60,0.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
el_e13,run01,extended_el_e13_mesh_run01,Extended: NetworkLoss 5% carts,extended,network-loss,core,carts,3,0.016563698822711262,0.019457298275650653,1.1746952467507947,300,300,15s,legacy-compressed-v1,D:\project\homework\sockshop\data\sockshop_mesh_extended,extended_,data\sockshop_mesh_extended\el_e13\run01,True,1.0,0,0,data\sockshop_mesh_extended\el_e13\run01\dycause_lag3_step60_edge0.6.log,True,3,60,0.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
el_e13,run01,extended_el_e13_mesh_run01,Extended: NetworkLoss 5% carts,extended,network-loss,core,carts,3,0.016563698822711262,0.019457298275650653,1.1746952467507947,300,300,15s,legacy-compressed-v1,D:\project\homework\sockshop\data\sockshop_mesh_extended,extended_,data\sockshop_mesh_extended\el_e13\run01,True,1.0,0,0,data\sockshop_mesh_extended\el_e13\run01\dycause_lag3_step60_edge0.8.log,True,3,60,0.8,4,0.0,0.0,0.0,1.0,1.0,0.4,0.5714
el_e13,run01,extended_el_e13_mesh_run01,Extended: NetworkLoss 5% carts,extended,network-loss,core,carts,3,0.016563698822711262,0.019457298275650653,1.1746952467507947,300,300,15s,legacy-compressed-v1,D:\project\homework\sockshop\data\sockshop_mesh_extended,extended_,data\sockshop_mesh_extended\el_e13\run01,True,1.0,0,0,data\sockshop_mesh_extended\el_e13\run01\dycause_lag5_step20_edge0.4.log,True,5,20,0.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
el_e13,run01,extended_el_e13_mesh_run01,Extended: NetworkLoss 5% carts,extended,network-loss,core,carts,3,0.016563698822711262,0.019457298275650653,1.1746952467507947,300,300,15s,legacy-compressed-v1,D:\project\homework\sockshop\data\sockshop_mesh_extended,extended_,data\sockshop_mesh_extended\el_e13\run01,True,1.0,0,0,data\sockshop_mesh_extended\el_e13\run01\dycause_lag5_step20_edge0.6.log,True,5,20,0.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
el_e13,run01,extended_el_e13_mesh_run01,Extended: NetworkLoss 5% carts,extended,network-loss,core,carts,3,0.016563698822711262,0.019457298275650653,1.1746952467507947,300,300,15s,legacy-compressed-v1,D:\project\homework\sockshop\data\sockshop_mesh_extended,extended_,data\sockshop_mesh_extended\el_e13\run01,True,1.0,0,0,data\sockshop_mesh_extended\el_e13\run01\dycause_lag5_step20_edge0.8.log,True,5,20,0.8,4,0.0,0.0,0.0,1.0,1.0,0.4,0.5714
el_e13,run01,extended_el_e13_mesh_run01,Extended: NetworkLoss 5% carts,extended,network-loss,core,carts,3,0.016563698822711262,0.019457298275650653,1.1746952467507947,300,300,15s,legacy-compressed-v1,D:\project\homework\sockshop\data\sockshop_mesh_extended,extended_,data\sockshop_mesh_extended\el_e13\run01,True,1.0,0,0,data\sockshop_mesh_extended\el_e13\run01\dycause_lag5_step30_edge0.4.log,True,5,30,0.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
el_e13,run01,extended_el_e13_mesh_run01,Extended: NetworkLoss 5% carts,extended,network-loss,core,carts,3,0.016563698822711262,0.019457298275650653,1.1746952467507947,300,300,15s,legacy-compressed-v1,D:\project\homework\sockshop\data\sockshop_mesh_extended,extended_,data\sockshop_mesh_extended\el_e13\run01,True,1.0,0,0,data\sockshop_mesh_extended\el_e13\run01\dycause_lag5_step30_edge0.6.log,True,5,30,0.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
el_e13,run01,extended_el_e13_mesh_run01,Extended: NetworkLoss 5% carts,extended,network-loss,core,carts,3,0.016563698822711262,0.019457298275650653,1.1746952467507947,300,300,15s,legacy-compressed-v1,D:\project\homework\sockshop\data\sockshop_mesh_extended,extended_,data\sockshop_mesh_extended\el_e13\run01,True,1.0,0,0,data\sockshop_mesh_extended\el_e13\run01\dycause_lag5_step30_edge0.8.log,True,5,30,0.8,3,0.0,0.0,1.0,1.0,1.0,0.6,0.7143
el_e13,run01,extended_el_e13_mesh_run01,Extended: NetworkLoss 5% carts,extended,network-loss,core,carts,3,0.016563698822711262,0.019457298275650653,1.1746952467507947,300,300,15s,legacy-compressed-v1,D:\project\homework\sockshop\data\sockshop_mesh_extended,extended_,data\sockshop_mesh_extended\el_e13\run01,True,1.0,0,0,data\sockshop_mesh_extended\el_e13\run01\dycause_lag5_step60_edge0.4.log,True,5,60,0.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
el_e13,run01,extended_el_e13_mesh_run01,Extended: NetworkLoss 5% carts,extended,network-loss,core,carts,3,0.016563698822711262,0.019457298275650653,1.1746952467507947,300,300,15s,legacy-compressed-v1,D:\project\homework\sockshop\data\sockshop_mesh_extended,extended_,data\sockshop_mesh_extended\el_e13\run01,True,1.0,0,0,data\sockshop_mesh_extended\el_e13\run01\dycause_lag5_step60_edge0.6.log,True,5,60,0.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
