case_id,dataset_group,experiment,run,root_service,entry_service,method,graph_source,root_rank,top1,top2,top5,mrr,acc,top_services,root_score,dycause_entry_arg,entry_arg_zero_based
business_mesh_e1_mesh_run01,sockshop_mesh_business,mesh_e1,run01,payment,front-end,path_only,score_ablation,4,0.0,0.0,1.0,0.25,0.5714285714285714,carts > catalogue > orders > payment > shipping > user,0.006666666666666667,0,True
business_mesh_e1_mesh_run01,sockshop_mesh_business,mesh_e1,run01,payment,front-end,pearson_only,score_ablation,3,0.0,0.0,1.0,0.3333333333333333,0.7142857142857143,user > catalogue > payment > orders > carts > shipping,0.5186544085255668,0,True
business_mesh_e1_mesh_run01,sockshop_mesh_business,mesh_e1,run01,payment,front-end,path_plus_pearson,score_ablation,2,0.0,1.0,1.0,0.5,0.8571428571428571,catalogue > payment > orders > carts > shipping > user,1.5745291798323018,0,True
business_mesh_e1_mesh_run01,sockshop_mesh_business,mesh_e1,run01,payment,front-end,path_plus_z_shift,score_ablation,4,0.0,0.0,1.0,0.25,0.5714285714285714,catalogue > orders > carts > payment > shipping > user,1.1669404842181423,0,True
business_mesh_e1_mesh_run01,sockshop_mesh_business,mesh_e1,run01,payment,front-end,pearson_plus_z_shift,score_ablation,4,0.0,0.0,1.0,0.25,0.5714285714285714,catalogue > user > orders > payment > carts > shipping,0.7414696640504441,0,True
business_mesh_e2_mesh_run01,sockshop_mesh_business,mesh_e2,run01,user,front-end,path_only,score_ablation,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,orders > carts > payment > shipping > catalogue > user,0.0,0,True
business_mesh_e2_mesh_run01,sockshop_mesh_business,mesh_e2,run01,user,front-end,pearson_only,score_ablation,5,0.0,0.0,1.0,0.2,0.42857142857142855,orders > shipping > carts > catalogue > user > payment,0.3387018584688919,0,True
business_mesh_e2_mesh_run01,sockshop_mesh_business,mesh_e2,run01,user,front-end,path_plus_pearson,score_ablation,5,0.0,0.0,1.0,0.2,0.42857142857142855,orders > shipping > carts > catalogue > user > payment,0.5677154678873056,0,True
business_mesh_e2_mesh_run01,sockshop_mesh_business,mesh_e2,run01,user,front-end,path_plus_z_shift,score_ablation,5,0.0,0.0,1.0,0.2,0.42857142857142855,shipping > orders > carts > payment > user > catalogue,0.33988516619785436,0,True
business_mesh_e2_mesh_run01,sockshop_mesh_business,mesh_e2,run01,user,front-end,pearson_plus_z_shift,score_ablation,4,0.0,0.0,1.0,0.25,0.5714285714285714,shipping > carts > orders > user > catalogue > payment,0.90760063408516,0,True
business_mesh_e3_mesh_run01,sockshop_mesh_business,mesh_e3,run01,payment,front-end,path_only,score_ablation,1,1.0,1.0,1.0,1.0,1.0,payment > orders > carts > shipping > catalogue > user,0.02,0,True
business_mesh_e3_mesh_run01,sockshop_mesh_business,mesh_e3,run01,payment,front-end,pearson_only,score_ablation,3,0.0,0.0,1.0,0.3333333333333333,0.7142857142857143,user > carts > payment > shipping > catalogue > orders,0.34278396201952716,0,True
business_mesh_e3_mesh_run01,sockshop_mesh_business,mesh_e3,run01,payment,front-end,path_plus_pearson,score_ablation,1,1.0,1.0,1.0,1.0,1.0,payment > carts > shipping > user > orders > catalogue,1.7020047754664263,0,True
