front-end,catalogue,carts,orders,payment,shipping,user
0.0012478513356561963,0.001247851335656378,0.025002346872985068,0.00244894042383047,0.001247851335656378,0.11377378199093802,
0.0012478513356561963,,,0.00244894042383047,,,0.001247851335656378
0.0012478513356561963,0.0010476190476189004,0.02708942706847738,0.00244894042383047,0.0012478513356561963,0.0030491408374921547,0.001247851335656378
,0.0010476190476189004,0.02708942706847738,,0.0012478513356561963,0.0030491408374921547,0.001247851335656378
0.0010476190476190821,0.0010476190476189002,0.02708942706847738,0.0024489404238304587,0.0012478513356561963,0.0030491408374921547,0.001247851335656378
0.0010476190476190821,0.0010476190476189004,0.02708942706847738,0.0024489404238304587,0.0012478513356561963,0.0030491408374921547,
0.0010476190476190824,,,0.0024489404238304587,,,0.0010476190476190821
0.0010476190476190824,0.0010476190476190821,0.030891331664970493,0.0024489404238304587,0.0010476190476189004,0.0030491803278688626,0.0010476190476190824
,0.0010476190476190824,0.030891331664970493,,0.0010476190476189004,0.003049180327868862,0.0010476190476190824
0.001628964974419614,0.0010476190476190821,0.030891331664970493,0.0030491408374921773,0.0010476190476189002,0.0030491803278688626,0.0010476190476190824
0.001628964974419614,0.0010476190476190824,0.030891331664970493,0.0030491408374921773,0.0010476190476189002,0.0030491803278688626,
0.001628964974419614,,,0.0030491408374921773,,,0.001247851335656378
0.001628964974419614,0.0012478513356561963,0.03148961636828608,0.0030491408374921773,0.001247851335656378,0.003249220805504956,0.001247851335656378
,0.0012478513356561963,0.03148961636828608,,0.001247851335656378,0.003249220805504956,0.001247851335656378
0.00144808362369331,0.0012478513356561963,0.03148961636828608,0.0022488604558176576,0.001247851335656378,0.003249220805504956,0.001247851335656378
0.00144808362369331,0.0012478513356561963,0.03148961636828608,0.0022488604558176576,0.001247851335656378,0.003249220805504956,
0.00144808362369331,,,0.0022488604558176576,,,0.00144808362369331
0.00144808362369331,0.0012478513356561963,0.05549509353184052,0.0022488604558176576,0.0012478513356561963,0.0030491408374921773,0.00144808362369331
,0.0012478513356561963,0.05549509353184052,,0.0012478513356561963,0.0030491408374921773,0.00144808362369331
0.0012384074941452128,0.0012478513356561963,0.05549509353184051,0.0032490621912647155,0.0012478513356561963,0.0030491408374921773,0.00144808362369331
0.0012384074941452126,0.0012478513356561963,0.05549509353184051,0.0032490621912647155,0.0012478513356561963,0.0030491408374921773,
0.0012384074941452128,,,0.0032490621912647155,,,0.004735761799176543
0.0012384074941452128,0.001448083623693492,0.03149036726544873,0.0032490621912647155,0.00144808362369331,0.0036492462396534846,0.004735761799176543
,0.001448083623693492,0.03149036726544873,,0.00144808362369331,0.0036492462396534846,0.004735761799176543
0.0014479313036690655,0.001448083623693492,0.03149036726544873,0.0036492462396535076,0.00144808362369331,0.0036492462396534846,0.0047357617991765424
0.0014479313036690658,0.001448083623693492,0.03149036726544873,0.0036492462396535076,0.00144808362369331,0.0036492462396534846,
0.0014479313036690658,,,0.0036492462396535076,,,0.0012478513356560144
0.0014479313036690655,0.0012478513356561963,0.044694060840361635,0.0036492462396535076,0.0012478513356561963,0.0030491013471154933,0.0012478513356560144
,0.0012478513356561963,0.044694060840361635,,0.0012478513356561963,0.0030491013471154933,0.0012478513356560144
0.0012478513356561963,0.0012478513356561963,0.044694060840361635,0.0018485481997677197,0.0012478513356561963,0.0030491013471154933,0.0012478513356560144
0.0012478513356561963,0.0012478513356561963,0.044694060840361635,0.0018485481997677197,0.0012478513356561963,0.0030491013471154933,
0.0012478513356561963,,,0.0018485481997677195,,,0.001247851335656378
0.0012478513356561963,0.0012478513356561963,0.023887612597046245,0.0018485481997677197,0.0012478513356561963,0.002448900933453774,0.001247851335656378
,0.0012478513356561963,0.02388761259704624,,0.0012478513356561963,0.0024489009334537743,0.001247851335656378
0.0006285714285713766,0.0012478513356561963,0.02388761259704624,0.0018485481997676974,0.0012478513356561963,0.002448900933453774,0.001247851335656378
0.0006285714285713766,0.0012478513356561963,0.02388761259704624,0.0018485481997676972,0.0012478513356561963,0.002448900933453774,
0.0006285714285713765,,,0.0018485481997676974,,,0.0012478513356560144
0.0006285714285713765,0.0012478513356561963,0.03249156765437783,0.0018485481997676972,0.0012478513356561963,0.002648980901466575,0.0012478513356560144
,0.0012478513356561959,0.03249156765437783,,0.0012478513356561959,0.002648980901466575,0.0012478513356560144
0.0008380952380952295,0.0012478513356561959,0.03249156765437783,0.0026489809014665754,0.0012478513356561963,0.0026489809014665754,0.0012478513356560144
0.0008380952380952294,0.0012478513356561959,0.03249156765437783,0.002648980901466575,0.0012478513356561963,0.002648980901466575,
0.0008380952380952295,,,0.002648980901466575,,,0.001247851335656378
0.0008380952380952295,0.0012478513356561963,0.04866072666914382,0.002648980901466575,0.0016479717813052048,0.0024489404238304587,0.001247851335656378
,0.0012478513356561959,0.04866072666914382,,0.0016479717813052048,0.002448940423830459,0.001247851335656378
0.0010476190476190824,0.0012478513356561963,0.04866072666914382,0.0024489404238304587,0.0016479717813052048,0.0024489404238304587,0.001247851335656378
0.0010476190476190824,0.0012478513356561963,0.04866072666914382,0.0024489404238304587,0.0016479717813052048,0.0024489404238304587,
0.0010476190476190824,,,0.0024489404238304587,,,0.001848548199767538
0.0010476190476190824,0.0012478513356561963,0.037742672482490885,0.0024489404238304587,0.0014480836236933099,0.00264902039184326,0.001848548199767538
,0.0012478513356561963,0.037742672482490885,,0.00144808362369331,0.00264902039184326,0.001848548199767538
0.007533411476313631,0.0012478513356561959,0.037742672482490885,0.004649290335461638,0.00144808362369331,0.00264902039184326,0.001848548199767538
0.007533411476313631,0.0012478513356561959,0.037742672482490885,0.004649290335461637,0.0014480836236933099,0.00264902039184326,
0.007533411476313631,,,0.004649290335461638,,,0.0015936378695274801
0.007533411476313631,0.001976755612634471,0.03655781377431477,0.004649290335461638,0.0006945412311266257,0.01846594301684747,0.0015936378695274801
,0.001976755612634471,0.03655781377431477,,0.0006945412311266258,0.01846594301684747,0.0015936378695274801
0.01595431983556715,0.001976755612634471,0.03655781377431477,0.018714916275136426,0.0006945412311266257,0.01846594301684747,0.0015936378695274801
0.01595431983556715,0.001976755612634471,0.03655781377431477,0.018717981614120124,0.0006945412311266257,0.01846594301684747,
0.01595431983556715,,,0.018717981614120124,,,0.001398025551684168
0.01595431983556715,0.0012478132556501351,0.03501784303352983,0.018714916275136426,0.0004423065241023887,0.002000997333492911,0.001398025551684168
,0.0012478132556501351,0.03501784303352983,,0.0004423065241023886,0.002000997333492911,0.001398025551684168
0.013831318244866508,0.0012478132556501351,0.03501784303352983,0.006920577936459652,0.0004423065241023886,0.002000997333492911,0.001398025551684168
0.013831318244866508,0.0012478132556501351,0.03501784303352983,0.006920577936459652,0.0004423065241023886,0.002000997333492911,
0.013831318244866504,,,0.006920577936459652,,,0.0013479293996686466
0.013831318244866508,0.0013336289067139573,0.04290174020630035,0.006920577936459652,0.0003643437862950122,0.004042498551931999,0.0013479293996686464
,0.0013336289067139573,0.04290174020630035,,0.0003643437862950122,0.004042498551931999,0.0013479293996686466
0.010494314989977233,0.0013336289067139573,0.04290174020630035,0.006320831202105428,0.00036434378629501216,0.004042498551931999,0.0013479293996686466
0.010494314989977233,0.0013336289067139573,0.04290174020630035,0.006320831202105428,0.0003643437862950122,0.004042498551931999,
0.010494314989977233,,,0.006320831202105428,,,0.001172764227642347
0.010494314989977235,0.0012016438845706804,0.4488990723118286,0.006320831202105427,0.00044566119130578423,0.002433402110597906,0.0011727642276423463
,0.0012016438845706802,0.4413420499760812,,0.00044566119130578434,0.002433402110597906,0.0011727642276423466
0.007574296275839025,0.0012016438845706802,0.4375174171379864,0.02591896795001008,0.00044566119130578434,0.002433402110597906,0.0011727642276423463
0.0075742962758390256,0.0012016438845706802,0.4375174171379864,0.02591896795001008,0.00044566119130578423,0.002433402110597906,
0.007574296275839025,,,0.02591896795001008,,,0.0012786563030465633
0.007574296275839025,0.0011143631436314537,0.13969627153891231,0.02591896795001008,0.0004826945412311033,0.0022360580755910746,0.0012786563030465633
,0.0011143631436314537,0.13969627153891231,,0.0004826945412311033,0.0022360580755910746,0.0012786563030465633
0.013603911038899267,0.0011143631436314537,0.13969627153891231,0.006518702729651386,0.0004826945412311033,0.0022360580755910746,0.0012786563030465633
0.013603911038899267,0.0011143631436314535,0.13969627153891234,0.006518702729651387,0.0004826945412311033,0.0022360580755910746,
0.013603911038899267,,,0.006518702729651387,,,0.001285954552419363
0.013603911038899267,0.0012859908190918454,0.031470119847211465,0.006518702729651387,0.0002971074608705229,0.0018580105372816866,0.001285954552419363
,0.0012859908190918457,0.031470119847211465,,0.0002971074608705229,0.0018580105372816866,0.0012859545524193633
0.01044151215206949,0.0012859908190918457,0.031470119847211465,0.009091798538250206,0.0002971074608705229,0.0018580105372816866,0.0012859545524193633
0.01044151215206949,0.0012859908190918457,0.031470119847211465,0.009091798538250206,0.0002971074608705229,0.0018580105372816866,
0.01044151215206949,,,0.009091798538250206,,,0.0012296484003801115
0.01044151215206949,0.0011841410621898582,0.01015408113341137,0.009091798538250206,0.00033122162390455663,0.001866647280481743,0.0012296484003801115
,0.0011841410621898582,0.01015408113341137,,0.00033122162390455663,0.001866647280481743,0.0012296484003801115
0.010918795346733973,0.0011841410621898582,0.01015408113341137,0.014288048516392832,0.0003312216239045566,0.001866647280481743,0.0012296484003801115
0.010918795346733973,0.0011841410621898582,0.01015408113341137,0.014288048516392832,0.0003312216239045566,0.001866647280481743,
0.010918795346733973,,,0.014288048516392832,,,0.0012296484003801115
0.010918795346733973,0.0012751211203830364,0.01546825273160229,0.014288048516392832,0.0004243480097138673,0.0017301509090126915,0.0012296484003801115
,0.0012751211203830364,0.01546825273160229,,0.0004243480097138672,0.0017301509090126915,0.0012296484003801113
0.012136656101559451,0.0012751211203830364,0.01546825273160229,0.0054130841268188725,0.0004243480097138672,0.0017301509090126915,0.0012296484003801115
0.012136656101559451,0.0012751211203830364,0.01546825273160229,0.0054130841268188725,0.0004243480097138672,0.0017301509090126915,
0.012136656101559451,,,0.0054130841268188725,,,0.001184141062189817
0.012136656101559451,0.0010931263858093105,0.009634654497114307,0.0054130841268188725,0.0004222363002850629,0.0015026578113343434,0.001184141062189817
,0.0010931263858093108,0.009634654497114307,,0.00042223630028506297,0.0015026578113343434,0.0011841410621898172
0.011545740199805393,0.0010931263858093108,0.009634654497114306,0.007634608443158714,0.00042223630028506297,0.0015026578113343434,0.001184141062189817
0.011545740199805393,0.0010931263858093105,0.009634654497114306,0.007634608443158714,0.00042223630028506297,0.0015026578113343434,
0.011545740199805395,,,0.007634608443158714,,,0.0012296484003801115
0.011545740199805395,0.001184141062189817,0.004962446228557927,0.007634608443158712,0.00023809523809524596,0.0015698648077001132,0.0012296484003801115
,0.001184141062189817,0.004962446228557927,,0.00023809523809524596,0.0015698648077001132,0.0012296484003801113
0.012913565351585743,0.001184141062189817,0.004962446228557927,0.0047014983263266195,0.00023809523809524596,0.0015698648077001132,0.0012296484003801113
0.012913565351585743,0.001184141062189817,0.004962446228557927,0.0047014983263266195,0.00023809523809524596,0.0015698648077001132,
0.012913565351585743,,,0.0047014983263266195,,,0.001263168132026413
0.012913565351585743,0.0013523203555016708,0.031563398730955615,0.0047014983263266195,0.0003333333333333609,0.0030218594181352877,0.0012631681320264129
,0.0013523203555016708,0.03156339873095561,,0.0003333333333333609,0.0030218594181352877,0.001263168132026413
0.010661325475146076,0.0013523203555016708,0.031563398730955615,0.01110783800688306,0.0003333333333333609,0.0030218594181352877,0.0012631681320264129
0.010661325475146076,0.0013523203555016708,0.031563398730955615,0.01110783800688306,0.0003333333333333609,0.0030218594181352877,
0.010661325475146078,,,0.01110783800688306,,,0.0012478513356561959
0.010661325475146076,0.0011429677562081928,0.014599042649889062,0.01110783800688306,0.0002971074608705229,0.0012859545524193956,0.0012478513356561963
,0.0011429677562081928,0.014599042649889064,,0.0002971074608705229,0.0012859545524193956,0.0012478513356561963
0.013998438150352385,0.0011429677562081928,0.014599042649889062,0.00450389323910778,0.0002971074608705229,0.0012859545524193956,0.0012478513356561963
0.013998438150352385,0.0011429677562081928,0.014599042649889062,0.00450389323910778,0.0002971074608705229,0.0012859545524193956,
0.013998438150352385,,,0.00450389323910778,,,0.001184141062189817
0.013998438150352385,0.0014116431349538371,0.004867581548895673,0.00450389323910778,0.00023809523809520465,0.0013958160007218694,0.001184141062189817
,0.0014116431349538371,0.004867581548895673,,0.00023809523809520465,0.0013958160007218694,0.001184141062189817
0.012520063038861036,0.0014116431349538371,0.004867581548895672,0.0049189255927102925,0.00023809523809520465,0.0013958160007218694,0.001184141062189817
0.012520063038861036,0.0014116431349538371,0.004867581548895672,0.0049189255927102925,0.00023809523809520465,0.0013958160007218694,
0.012520063038861036,,,0.0049189255927102925,,,0.0012652628389637952
0.012520063038861036,0.0012296484003801113,0.005372686391215153,0.0049189255927102925,0.0003168206837347933,0.0014571158549567206,0.001265262838963795
,0.0012296484003801115,0.005372686391215152,,0.0003168206837347933,0.0014571158549567206,0.0012652628389637952
0.010653358043432336,0.0012296484003801115,0.005372686391215152,0.006796792023342391,0.0003168206837347933,0.0014571158549567206,0.001265262838963795
