method,graph_source,cases,top1,top2,top5,mrr,acc
dycause_entry_0based_raw,entry_index_experiment,5,0.4,0.4,1.0,0.5733333333333334,0.7714285714285715
dycause_entry_1based_fixed,entry_index_experiment,5,0.4,0.4,1.0,0.5733333333333334,0.7714285714285715
