front-end,catalogue,carts,orders,payment,shipping,user
0.013603911038899267,0.0012859908190918454,0.031470119847211465,0.006518702729651387,0.0002971074608705229,0.0018580105372816866,0.001285954552419363
,0.0012859908190918457,0.031470119847211465,,0.0002971074608705229,0.0018580105372816866,0.0012859545524193633
0.01044151215206949,0.0012859908190918457,0.031470119847211465,0.009091798538250206,0.0002971074608705229,0.0018580105372816866,0.0012859545524193633
0.01044151215206949,0.0012859908190918457,0.031470119847211465,0.009091798538250206,0.0002971074608705229,0.0018580105372816866,
0.01044151215206949,,,0.009091798538250206,,,0.0012296484003801115
0.01044151215206949,0.0011841410621898582,0.01015408113341137,0.009091798538250206,0.00033122162390455663,0.001866647280481743,0.0012296484003801115
,0.0011841410621898582,0.01015408113341137,,0.00033122162390455663,0.001866647280481743,0.0012296484003801115
0.010918795346733973,0.0011841410621898582,0.01015408113341137,0.014288048516392832,0.0003312216239045566,0.001866647280481743,0.0012296484003801115
0.010918795346733973,0.0011841410621898582,0.01015408113341137,0.014288048516392832,0.0003312216239045566,0.001866647280481743,
0.010918795346733973,,,0.014288048516392832,,,0.0012296484003801115
0.010918795346733973,0.0012751211203830364,0.01546825273160229,0.014288048516392832,0.0004243480097138673,0.0017301509090126915,0.0012296484003801115
,0.0012751211203830364,0.01546825273160229,,0.0004243480097138672,0.0017301509090126915,0.0012296484003801113
0.012136656101559451,0.0012751211203830364,0.01546825273160229,0.0054130841268188725,0.0004243480097138672,0.0017301509090126915,0.0012296484003801115
0.012136656101559451,0.0012751211203830364,0.01546825273160229,0.0054130841268188725,0.0004243480097138672,0.0017301509090126915,
0.012136656101559451,,,0.0054130841268188725,,,0.001184141062189817
0.012136656101559451,0.0010931263858093105,0.009634654497114307,0.0054130841268188725,0.0004222363002850629,0.0015026578113343434,0.001184141062189817
,0.0010931263858093108,0.009634654497114307,,0.00042223630028506297,0.0015026578113343434,0.0011841410621898172
0.011545740199805393,0.0010931263858093108,0.009634654497114306,0.007634608443158714,0.00042223630028506297,0.0015026578113343434,0.001184141062189817
0.011545740199805393,0.0010931263858093105,0.009634654497114306,0.007634608443158714,0.00042223630028506297,0.0015026578113343434,
0.011545740199805395,,,0.007634608443158714,,,0.0012296484003801115
0.011545740199805395,0.001184141062189817,0.004962446228557927,0.007634608443158712,0.00023809523809524596,0.0015698648077001132,0.0012296484003801115
,0.001184141062189817,0.004962446228557927,,0.00023809523809524596,0.0015698648077001132,0.0012296484003801113
0.012913565351585743,0.001184141062189817,0.004962446228557927,0.0047014983263266195,0.00023809523809524596,0.0015698648077001132,0.0012296484003801113
0.012913565351585743,0.001184141062189817,0.004962446228557927,0.0047014983263266195,0.00023809523809524596,0.0015698648077001132,
