case_id,dataset_group,experiment,run,root_service,entry_service,entry_index_0based,method,graph_source,root_rank,top1,top2,top5,mrr,acc,top_services,root_score,root_path_score,root_pearson_score,root_final_score,root_in_top_paths,dycause_entry_arg,entry_arg_zero_based
extended_el_e13_mesh_run05,sockshop_mesh_extended,el_e13,run05,carts,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,orders > shipping > user > catalogue > payment > carts,0.24397011586788103,0.02,0.22397011586788104,0.24397011586788103,True,1,False
extended_el_e13_mesh_run06,sockshop_mesh_extended,el_e13,run06,carts,front-end,0,dycause_entry_0based_raw,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,catalogue > orders > payment > user > shipping > carts,0.7237355568216498,0.0,0.7237355568216498,0.7237355568216498,False,0,True
extended_el_e13_mesh_run06,sockshop_mesh_extended,el_e13,run06,carts,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,catalogue > orders > payment > user > shipping > carts,0.7304022234883165,0.006666666666666667,0.7237355568216498,0.7304022234883165,True,1,False
extended_el_e13_mesh_run07,sockshop_mesh_extended,el_e13,run07,carts,front-end,0,dycause_entry_0based_raw,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,user > orders > payment > catalogue > shipping > carts,0.4042614125308572,0.006666666666666667,0.3975947458641905,0.4042614125308572,True,0,True
extended_el_e13_mesh_run07,sockshop_mesh_extended,el_e13,run07,carts,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,user > orders > payment > catalogue > shipping > carts,0.3975947458641905,0.0,0.3975947458641905,0.3975947458641905,False,1,False
extended_el_e13_mesh_run08,sockshop_mesh_extended,el_e13,run08,carts,front-end,0,dycause_entry_0based_raw,entry_index_experiment,5,0.0,0.0,1.0,0.2,0.42857142857142855,orders > catalogue > user > payment > carts > shipping,0.4050142562418085,0.0,0.4050142562418085,0.4050142562418085,False,0,True
extended_el_e13_mesh_run08,sockshop_mesh_extended,el_e13,run08,carts,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,5,0.0,0.0,1.0,0.2,0.42857142857142855,orders > catalogue > user > payment > carts > shipping,0.41168092290847513,0.006666666666666667,0.4050142562418085,0.41168092290847513,True,1,False
extended_el_e13_mesh_run09,sockshop_mesh_extended,el_e13,run09,carts,front-end,0,dycause_entry_0based_raw,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,user > payment > orders > shipping > catalogue > carts,0.6312777003110848,0.0,0.6312777003110848,0.6312777003110848,False,0,True
extended_el_e13_mesh_run09,sockshop_mesh_extended,el_e13,run09,carts,front-end,0,dycause_entry_1based_fixed,entry_index_experiment,6,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,user > payment > orders > shipping > catalogue > carts,0.6312777003110848,0.0,0.6312777003110848,0.6312777003110848,False,1,False
extended_el_e13_mesh_run10,sockshop_mesh_extended,el_e13,run10,carts,front-end,0,dycause_entry_0based_raw,entry_index_experiment,4,0.0,0.0,1.0,0.25,0.5714285714285714,user > orders > catalogue > carts > shipping > payment,0.48927745356248964,0.0,0.48927745356248964,0.48927745356248964,False,0,True
